-321,-3831,-112,-3195,469,-1156,-3151,-747,885,-1074,-1061,2637,-3351,3110,-3862,1454,3302,1953,2612,1541,558,-2784,3367,1856,-1631,1229,-1722,90,-288,867,504,-503,3122,1887,-3157,1089,-2298,839,-1902,32,3675,1963,-1270,4823,3468,1647,3442,-1694,-4551,-1226,2024,504,491,-1843,54,847,-1119,1832,1649,-1420,
221,275,139,2290,300,1663,-3457,1988,-364,-2055,806,452,1311,-2517,754,847,-456,-3199,-1733,-624,-200,2354,3923,-1145,-115,-97,2031,4561,1437,448,-136,-1081,-1646,-484,1495,-25,4222,-1217,3944,1593,-2640,-3673,-1792,2921,-103,-2004,-2332,-1696,1228,515,-487,-2,3459,3242,2771,-2457,-2340,275,2084,372,
-358,-231,54,-3089,1480,1365,-1108,1612,2335,-5,3038,5419,-2878,-204,-484,7614,-564,1540,3564,455,3463,-1249,-507,54,672,-1298,-785,-4879,3499,-117,-432,-904,5220,-925,-2685,778,-564,2736,1407,-3612,2335,-169,1243,-94,-1578,1484,367,-1878,-533,1038,-3253,-203,2024,2393,5507,-3234,-3054,896,3798,2592,
1884,-5715,3697,-3553,1178,44,-421,567,-2320,-24,-592,2885,549,1425,2502,3153,6192,3596,-1436,54,1664,-93,1139,226,1909,54,-903,-1884,1537,4608,4090,685,-1518,1138,-209,2402,-4016,-2640,-3483,-4109,32,1266,-1829,4243,-662,6803,2242,3294,5041,-849,2452,76,-2592,-1514,1667,-1485,-5872,695,-713,624,
4470,-1855,-2740,-1287,-1754,-1039,860,-2234,1334,1281,1965,-4933,267,14,2575,705,-831,-4044,3235,-2341,-805,-413,1715,-359,-2876,-822,-4108,413,-882,-1350,1642,1515,298,616,1648,97,-4005,1422,5001,4654,-1545,3495,630,436,-445,1062,910,762,1478,-611,1014,-2399,2808,-2163,-1304,-675,556,-1315,6391,1662,
617,5743,-69,5342,773,4172,867,721,-91,-4046,-3642,-2821,1957,-2610,-2010,468,-3587,-3437,1057,-748,-890,-1540,176,-4494,-1646,2384,1585,-1078,-138,-3067,-122,3438,-247,-104,3117,-2115,-1924,2429,851,4307,-2140,1398,784,-106,1216,575,-1789,-932,1294,3593,-3701,-90,-287,1062,778,-1406,-2723,-2352,-1735,214,
4914,263,849,-130,-2326,1710,-577,-106,-1339,-886,1376,-579,-3479,-1633,205,-213,-543,-2628,563,1365,-1004,813,6250,2197,1897,126,-2857,2056,-988,-2553,-6915,-1515,948,207,2320,-2721,-504,1175,1381,4019,-2226,-1327,-3588,-2217,2774,780,-2368,2743,-2111,908,3299,-5093,4087,1641,1315,780,1729,-1798,725,-1443,
18,3539,-3163,-2309,1021,-3241,4082,-5937,2147,2458,-1221,-3164,4955,-2265,-1010,-12,-4663,432,343,-525,-202,3842,-973,-1117,-1108,1606,2145,1008,410,337,-651,2651,114,-6225,3594,215,78,4478,1827,-943,-554,-875,4239,-1092,-639,-897,5023,2113,-1319,1149,-2811,-591,-1467,-578,-1594,-3303,-1119,467,2872,306,
-2213,3469,1558,-2382,2066,622,-4570,-640,204,-2410,1147,-669,602,-2470,-1495,931,674,3607,950,-2503,3473,100,-1532,961,1346,2092,-5822,3218,-3751,398,2518,-350,-913,1848,284,3711,2971,1549,3184,597,1062,-4039,2023,-922,171,-2,2406,-3416,1807,-413,-1355,1609,552,1005,-943,-2669,-171,5067,-751,321,
-1583,-2307,583,-3321,325,803,959,1086,592,-1227,970,543,425,1072,-726,3740,1357,1933,1830,342,824,-610,-2250,-277,1447,378,-2025,-2244,-580,2145,2360,442,392,815,-2443,324,2918,-242,198,-4739,-4890,835,371,4797,-55,-1331,844,3012,4677,-370,-1449,-313,1422,206,3619,-4677,-2251,-119,-1394,-1174,
697,1936,-1209,1360,-2631,2585,1511,1706,666,925,3477,173,-143,-2056,2171,-352,-3302,266,4039,222,-2082,72,-586,118,-1069,705,-939,2703,-161,-1872,-214,-994,-1,-1958,1250,-1713,2979,955,-1151,4126,-1735,-1466,1631,-3287,1178,1817,4006,2518,103,-247,1348,1337,1312,-451,-1520,195,461,-882,1110,-559,
-442,1384,1316,-1015,3876,763,-1934,-1287,-1753,-908,2618,-1021,-2046,-1131,-4229,482,4142,2422,568,-334,169,1361,-1770,-4584,-369,-1186,-1067,2,-938,1618,-324,1361,2448,966,-4481,362,-2382,1130,-3699,-1011,-3129,-1979,-1025,6646,894,-1744,316,1893,3993,702,-976,-1360,-2292,-1341,931,-3824,913,679,506,1510,
330,-585,-1781,-948,3712,3559,4477,3205,1715,-2288,3251,-1273,-1115,-2638,-1468,2640,516,867,-258,254,-4179,-1435,2974,486,-201,3947,611,-273,-848,1907,-470,-1240,545,-473,-178,1991,-1693,2323,2291,676,-3223,1281,-3371,-645,666,-3100,200,241,3481,2794,1601,-803,2210,-334,3018,-1889,375,-516,-2652,3892,
3262,522,-434,5074,2821,2290,695,-567,2049,2356,2331,2544,-2542,-1643,738,1440,-3472,1972,4537,-2316,3118,6,-1121,-1051,1364,369,1199,-561,2935,2188,-2207,-2240,-977,-2816,13,-2620,895,2941,-291,763,3404,625,-320,-201,1301,2143,2932,2342,-1347,-2766,1389,-20,1899,-794,-213,-1943,-567,218,-1910,-3602,
-148,-1612,-532,647,1849,-1219,769,604,69,-3456,-291,-191,2449,-1058,-1691,-2849,-898,351,-3158,1067,-828,1610,-3370,1083,-719,-2099,4687,253,511,-1594,551,909,1535,-1067,1652,646,1809,-1296,-2594,-2752,-3854,572,1785,-2350,-765,-1734,1691,2948,4767,1785,-162,-343,-1966,786,-210,1147,-2180,-5481,-3281,460,
-118,2573,713,-90,3442,399,1541,-2801,-1052,-1469,-22,394,-651,-2593,-3629,-7805,1871,3924,2511,1959,-941,624,-2469,-585,-645,-2730,-2666,-5769,-740,2256,-144,2647,2480,-1196,-1041,-3468,-114,3209,8,555,711,681,-220,336,5400,2288,-2513,2972,1174,-1738,646,1196,-2926,-383,2505,2708,739,663,843,-819,
2545,-1305,2677,2648,-2165,-1063,-59,738,2671,-88,-1563,-1739,-165,1221,2476,471,1331,268,-1844,-617,849,1659,584,-3701,-2427,614,1998,833,-1502,109,715,386,-3130,313,-744,1755,937,2071,-3358,-5307,-1188,2621,457,-2043,1832,638,5430,711,350,-1120,-1808,-534,-1291,767,-135,-372,-2528,-1698,4877,3505,
-265,3819,-1151,-4478,3105,2095,-1537,1088,-3342,3776,1166,2077,-2256,2003,-2826,795,952,-1416,-651,2950,1873,-1998,-745,1638,2505,1116,-1769,2279,826,-1076,2929,-228,4999,-1693,-1807,-1798,-1150,769,286,2103,2581,781,2266,-2600,-1278,-1397,1327,-5004,-2041,2286,666,-2439,350,964,-1043,-148,-3534,498,-2398,2845,
-289,1147,70,434,110,454,-450,51,-3757,-3139,-4956,-1764,-645,-1706,1550,1992,-1235,-414,-7003,-3208,1641,1981,-1385,827,-1207,-2135,-254,3197,-1173,711,103,423,-2757,-1304,3519,294,-2256,583,-1482,7,225,19,226,-206,2223,2850,1556,2166,-768,3021,2473,-1733,3717,-1512,-2332,1395,-1025,-4950,-3352,237,
728,-1805,313,3421,1663,-3147,-301,1231,-138,477,-4135,-657,2380,2523,-904,-978,-1408,-2083,4577,-9186,-3233,-1379,-3052,-1490,605,3438,3343,840,-3445,-1194,1335,2384,-1034,2905,367,-696,-156,-3023,-1326,-3285,-1628,1720,-2360,1102,-2737,-466,413,-2434,2179,-1331,2426,3895,862,-1101,2674,-851,-205,2526,-2324,661,
-4141,372,34,852,541,1980,3125,3832,2657,-89,7202,1826,-668,-1413,-3115,1267,-1152,-1121,591,-169,-416,2276,-291,-6143,-761,2140,4853,-1556,-697,696,606,-267,4055,-1764,435,3267,-1279,-1148,-699,-1783,-1159,1428,1787,-96,1936,-3437,1393,2299,2299,2885,-1813,-858,-2646,2985,1186,-3131,1083,4775,-772,656,
-300,-769,-144,1934,-3297,1501,-1588,-3215,1969,453,2455,3079,-1260,-750,-2621,2921,-2246,546,1165,2065,2126,-1448,-1397,650,2600,-1057,3274,50,-249,2795,308,6816,1430,3020,-1808,-75,3531,1185,231,-1206,-1888,-1114,785,1859,-1533,-3636,1811,3314,1981,-2709,206,-1725,-2172,-395,4456,870,1085,-508,-1903,-1551,
4642,-389,1709,1471,-559,497,2443,-3052,-3959,2719,1829,-542,1570,335,-427,-121,578,-3678,1567,1888,688,-687,-5453,-1099,-499,99,2933,1545,4352,191,-39,1011,-487,3,-1310,-960,-1764,-1747,-2031,4150,-368,-348,-1790,-2261,-1113,1208,3182,1438,-172,-115,-1032,-1234,-730,-2790,2859,1747,694,-2834,-3283,-693,
-165,2466,-1425,1795,-4155,654,-1939,1086,473,2950,-1763,2565,-1679,837,-460,18,522,1770,-7509,-1400,-2398,-6537,-665,3392,872,-209,-398,-2986,2043,1132,1179,1929,1278,30,-1576,-2372,-2900,-3128,-6739,1296,883,1482,296,-3555,-840,-3825,2303,1234,1,-954,-1684,-1852,2306,-1930,28,1170,-1029,-1923,-1780,-563,
5910,1713,641,2344,1772,1328,2828,1161,691,-426,53,-2726,12,1647,-1860,-297,163,1114,2975,-961,2264,-1324,745,-1049,-3143,711,346,93,-1844,556,200,618,1300,22,-1970,775,416,873,1911,-2601,769,-667,-3876,983,-2341,-2312,-1239,-1029,-570,39,-347,1976,1182,-1377,1456,-1792,-2425,3702,-2313,-283,
-1188,2656,-809,-2893,-2004,2596,-4948,8,469,-84,1017,1350,-2605,192,1151,908,-1504,-339,539,2483,637,-1561,3277,3281,-186,-2971,-6404,24,-742,835,-2504,-4306,493,138,-156,-2500,10,822,2886,3957,2138,1116,3925,-567,4000,-1981,166,-3331,341,-854,1489,6,2324,3478,-3580,898,195,880,1173,2425,
541,-3863,2005,-5655,447,1466,1498,-1136,1189,1366,3010,1261,-972,2701,-3740,-43,1242,2470,-617,2438,143,874,-1480,-1094,1925,2644,-2021,-2571,22,4363,-432,513,2513,-1201,-2211,619,-2456,-1452,1979,-3524,-2565,3364,479,-3371,-281,-425,2288,2750,3503,3598,2397,-915,-646,-654,1933,2766,1903,-331,2823,594,
-2122,-1994,-1208,3143,-3975,-2896,-4610,-838,469,173,127,329,-129,-1645,1733,676,629,-632,-5298,-3012,1392,-1134,-900,2582,545,-3905,553,-4676,2491,-224,3890,3038,-156,-832,-546,-148,2619,-1799,-1652,-3057,-290,-187,1868,-717,-2743,1453,-205,1451,714,-464,1464,-667,735,1675,-3745,604,2143,-379,1012,834,
4303,-625,1993,-982,602,-1153,2286,2750,595,154,-735,-240,-2705,5046,-1346,-1451,-179,3920,2734,-2318,-2894,-314,-1882,1048,-2193,2373,2767,3613,57,-182,362,-1722,1352,1214,-3652,-625,-2704,-1904,-2168,-2507,86,-828,-2666,1729,-596,-1354,-2548,-2389,-1740,375,-801,1506,-1351,-2218,-920,-3325,545,82,-1421,-993,
1917,294,749,-3687,-2487,-1041,-958,1795,2706,-1392,1329,-1390,-2567,-132,-2315,469,-82,891,1588,-1583,-354,-1347,-3395,1786,-2151,1816,-4651,-593,-617,-745,-756,489,5252,2218,-803,-512,-2621,-1421,-265,1894,1068,1876,2050,5923,843,370,457,-372,1009,-655,739,430,3469,-1766,1009,-2023,1301,2139,770,-286,
-985,-3118,474,-453,159,1082,2688,73,-346,-1416,595,-1066,199,-2356,1000,1457,-1528,-4503,-461,-3553,-1525,2644,-1571,1148,907,3615,3608,-341,-3409,-1837,1027,-2008,-703,-4641,1736,2400,-1578,-1239,-94,-778,-3693,-262,-1015,66,444,-2921,-3705,602,2238,1127,-1480,-1233,-541,133,-285,-2623,3555,205,3597,1422,
2718,1764,1570,1446,-5436,3746,1601,4002,-3389,1280,-103,451,-1491,547,-1502,-1865,746,-225,-685,-1016,792,1474,1161,-1022,1179,1230,1975,-759,2057,-2612,684,-3188,-1053,1476,-2626,-1972,2915,-1138,1250,44,-449,830,-1523,-2997,4077,-2451,681,3623,-243,-1394,1969,1432,-1296,44,554,2146,-1366,-1919,-1644,-262,
-2785,-1380,-1474,-1713,-4272,2833,758,1747,867,-572,1728,168,1272,-623,2248,3298,1128,-628,1168,-2114,228,1718,749,-3250,-1756,1603,-2751,921,-1458,3166,1562,-1861,-1003,-128,-268,402,-3016,2963,1612,1704,6078,-657,2995,-857,2572,3058,1089,-42,-802,-1335,377,-866,-1485,-2420,-7836,-3474,1089,2409,582,-1317,
-3201,3065,-383,2223,2138,2548,-578,-445,-514,-1709,3522,1489,-922,-226,11,3649,1401,-1888,538,34,1827,-512,111,788,-357,-1388,358,-1069,-1234,-1032,1397,-1176,-1260,-822,-1506,818,1891,1815,1332,-1139,728,-265,-717,-4630,2895,3696,-291,-4486,-2230,472,-362,-1420,-2013,37,1375,1273,1612,2398,2545,2276,
1085,1895,1600,4025,-1323,-1499,877,-1390,-2958,1720,-2132,-3102,1628,85,-585,-3300,-1078,-245,-3097,-371,-2044,935,1796,-2413,969,-273,1303,1505,1084,638,-2027,2506,-1330,197,3709,1423,-80,-1604,870,-1423,1776,-2417,-1407,-278,-2774,-4908,-1334,1031,-717,-1824,1913,1180,-722,2628,-1107,884,1810,-1153,-1406,-2021,
-486,3784,-50,665,669,-698,1216,3223,3463,-3190,2726,-711,163,1973,534,-293,2171,-1858,-3825,-381,-6418,-9362,268,514,228,1427,-1207,-256,-2126,-822,1662,-1369,-2507,1275,-7,1184,2936,3210,30,914,-4844,93,-3025,-545,31,-4074,-3677,-2943,1452,529,4471,-2469,13,-286,2830,-3600,308,-884,-1133,2510,
1672,-3665,2006,-3510,-1106,2755,-413,-359,-698,392,1000,4296,-2827,292,636,4870,781,3421,-241,-2016,2121,92,1061,-1642,2947,1336,1479,529,1149,3586,-315,-499,1607,3658,-1380,1676,-811,-1383,-3923,-3307,1552,-2131,-2261,3403,731,2474,-2,2847,2757,-1509,1390,-1262,-1079,-2849,3236,-1426,-2551,-949,-647,-577,
4673,2345,-1639,16,233,604,2435,-1536,709,-143,2503,-1215,1186,-4088,4167,-2009,-3112,-3699,814,-2460,445,1341,1151,137,1583,-790,639,3460,1417,-2321,-608,275,-1039,-1473,3201,-92,2332,-1562,4330,2018,1530,-803,1946,-2867,-1415,2213,1946,631,1954,624,3607,-1636,5188,-609,2040,-750,2581,771,-787,-254,
