2399,-374,5645,-1359,-887,-4847,-1327,751,601,-1804,170,923,-43,2136,-208,1204,3287,1224,1233,-15,575,-2146,-1029,-2651,58,-1694,-1120,3189,289,1053,-1605,-368,-2176,1496,-2152,-691,-597,621,-1144,2035,332,1704,799,-902,-1575,477,-721,298,-1711,2830,1815,-1639,881,1342,43,564,-284,940,-3777,1963,-423,-126,-382,-331,682,-1424,389,108,-361,942,150,279,-445,403,-1960,-984,-1520,-1260,-2321,-1869,-1784,552,-2949,-1072,-1336,1211,-1942,2516,-3762,-889,-1538,-966,407,201,-2260,-233,685,-693,-1231,4525,
-570,-2482,400,171,-51,2457,609,-818,-394,707,-346,-621,-1463,55,-1047,-585,-348,77,3201,-2093,1078,408,-1304,1285,-2256,-1650,-145,-264,405,3011,-1262,-2363,-131,-1339,1603,-216,885,590,-185,-148,1016,543,-445,1162,231,-1976,258,305,941,-331,980,2350,1222,2086,628,-172,-704,-3089,-187,2006,-418,-1098,1618,-490,-576,856,-720,-63,352,-886,-948,479,-3480,-250,-392,619,874,2731,-78,-718,-1669,3523,652,2470,3448,1099,1044,-1744,415,658,134,-211,-467,1582,1045,111,-663,-145,0,1971,
-441,-492,-1388,184,112,-135,1248,-831,-1492,-4254,-51,169,2283,-1442,-2925,-395,3080,2613,-3526,1936,-35,-868,-2113,-323,-2466,-161,-587,1938,1682,-1510,-1101,1797,-881,509,1685,-744,442,579,58,-576,-56,1049,-1368,-13,1129,-320,705,-115,-1500,-453,-153,3124,-815,-225,-375,593,-2945,599,1178,-3587,606,-1314,704,4033,-417,-14,2084,360,346,-695,1802,-193,-3586,2023,228,1924,-2318,-1749,-555,629,1567,-3428,1305,-2089,593,-394,338,570,200,1558,-346,-388,-86,-1855,184,-13,-521,2138,624,-655,
831,-2010,-2508,603,1012,3880,1564,975,-2227,136,399,1091,-389,-2504,3025,-1636,-177,-2316,57,2202,-960,-3663,1822,-1575,1266,-324,1108,-2120,-111,76,494,740,764,731,101,-1340,-258,3927,825,-1724,654,509,936,-1678,1230,1161,-477,1838,2445,-927,-2017,-70,-2773,-1667,1515,-2728,261,138,968,-2142,-989,83,-1377,2087,1039,8,-206,1624,62,-374,1119,-542,1244,271,3108,-1316,2134,-1304,-283,733,-262,1220,1368,2134,-2732,-1432,1018,-1227,2163,-225,1866,-466,-276,-586,-23,2306,2549,-394,2883,-4232,
2588,-495,-1697,-1273,-152,323,1175,-27,-1142,-686,-1414,-69,-601,-1036,1687,-1148,908,160,-314,-141,178,-1006,-330,206,1478,-699,769,1643,-1846,723,2041,-1727,1503,2135,-975,-354,491,2782,975,464,-151,-2416,-1654,-3141,-1320,42,421,-2176,-3179,-1792,-865,-173,576,-1680,1084,-638,1090,1358,-152,-2629,-934,1088,-2587,-1112,-1900,2721,-752,610,-422,282,-3445,-3778,1231,-1381,19,2648,14,-624,-1454,-1291,284,-1598,78,-1107,772,-57,-487,708,-1536,797,1744,33,1775,1142,1415,2166,409,289,-959,-543,
406,-862,1988,-991,-1391,-2998,1710,2280,-344,351,2011,388,-3297,1298,-2644,-1740,-250,-2455,1022,-1118,-183,3225,3651,-1452,1979,-243,1443,-1508,-451,697,744,1782,4227,266,-1583,1047,-701,-987,1051,2367,1124,-685,1043,3480,-1577,535,-786,466,2327,-1762,13,-51,-355,-138,2654,1374,20,-340,1439,2816,-2298,-796,-2672,-4154,-2074,254,-439,996,517,492,-190,375,-1144,1520,793,803,-752,2398,-2380,83,-2872,296,-1214,-3270,1604,290,958,-1472,723,-759,3518,-2146,-2669,-2510,1497,-1371,644,-994,2932,1046,
1699,-1968,652,501,294,-60,-2198,1917,-104,149,-1258,-1023,260,728,639,3106,-1946,-2588,-677,-221,642,1099,2304,384,372,943,-40,-2551,-865,-4256,2405,652,107,2554,-442,3635,-1116,124,-318,329,3139,-1681,417,-2191,-1600,-231,-1411,-687,671,-275,690,-1068,-1296,71,234,2126,-1062,2216,1312,-974,-1222,52,-1130,-1768,852,-563,212,180,-460,-135,593,-502,4862,669,-614,526,-781,-2010,-495,1029,1490,-63,431,-1410,-3,-1665,-2411,810,95,-1812,413,1225,553,2404,714,197,-831,745,-1068,-1234,
21,-76,1580,1752,405,479,1440,-5846,-648,812,929,-998,-118,-1280,993,1620,385,-2844,-1217,673,-2513,788,387,-1837,1011,263,-591,-13,-609,-2251,1351,2933,284,-44,-1716,648,1425,-1347,41,-400,-1895,-1148,-1284,-2807,-1857,52,-1498,456,290,-23,515,-1195,-279,-1205,-848,-710,-1620,-1002,-442,-1083,-810,1139,-588,-1476,-1233,179,-1233,-953,289,-74,1199,893,1481,1053,-746,-1286,-1420,-1126,1906,2576,-80,-1292,-1153,44,-1100,-1679,2096,645,-1929,-2598,1697,1293,-462,35,-78,1393,1166,851,2327,930,
-2229,-1390,373,-127,840,336,500,1900,-3989,-509,44,383,-2449,549,-788,-68,2671,-606,62,-2394,1062,-1241,-1643,-1673,-1389,-1488,-661,1841,-1349,303,-1261,-329,1597,1613,-592,-1440,1434,1104,220,-130,2316,2746,1672,-350,1033,-1562,1612,177,977,-216,-31,366,2466,175,1208,-1093,226,259,760,2216,63,-565,-788,678,3237,331,-602,-1110,883,692,1458,-680,19,-991,-811,-148,-87,2907,-243,531,1518,1751,1635,1947,55,1304,-704,-1425,-190,1044,1294,-2159,-798,-1794,-1422,79,1062,-628,1196,2612,
-382,619,1135,-653,-605,-95,1429,728,53,-2007,445,2488,-215,734,-823,-266,-240,541,2575,367,-266,1286,-719,-1320,-2099,842,3959,-3160,-1295,903,1544,1029,379,-1229,1113,2075,1185,821,1189,-87,-1677,-1660,3216,2385,-1692,2240,13,-507,-697,1057,1720,297,-130,1066,-774,-1460,-2772,-1922,1778,3879,3171,267,2694,-1061,-1564,-1176,-907,2130,776,-1405,-610,2008,-2032,1942,2964,-1822,-647,-1950,112,2648,-862,1809,44,-2719,869,-2014,-446,-569,-554,-1577,1570,-11,-1849,-1703,1263,12,148,-1007,1127,-1063,
431,1464,2461,-1216,354,-1390,358,-2414,532,-370,-3615,2257,1083,-530,-662,-1665,2095,13,-1132,2880,1615,1736,50,2253,-1414,311,-914,-1139,2514,33,679,1614,1550,-2459,844,-358,-499,-3782,-1548,1492,-2380,-1097,375,3360,-607,615,966,968,1156,1087,793,428,186,1207,-2283,750,-1728,-802,1382,-1628,1208,172,1236,235,-1152,543,907,182,140,-1560,1520,316,-5177,1627,470,1155,515,-406,-60,-1050,-1966,-2383,-1328,-418,-416,1304,-190,963,-179,-214,-298,1384,-657,-1324,2521,-2659,1518,668,349,-1684,
-686,-528,-1469,-836,361,-1415,1690,-2123,2048,396,763,-3789,-81,-1069,-795,596,612,-1238,-1690,1479,550,1782,58,62,-1702,1152,1495,-1200,-1797,-2225,-1553,170,153,-2928,-175,-1204,-1131,-2684,-1776,723,-1064,2023,-130,1711,17,257,955,960,1076,861,-1657,951,-129,576,-814,-743,125,-1525,585,1311,171,-1433,-500,1821,4,-1465,-1244,359,-48,938,2303,1560,-1578,73,-827,-598,1616,1537,-137,450,-1505,581,90,100,-1584,-1032,1941,1569,729,769,-814,837,-13,329,-1266,-3399,1870,839,-708,-1371,
